"","Var1","Freq"
"1474","Abhd12",2
"1475","Abhd13",5
"1476","Abhd14a",2
"1479","Abhd16a",2
"1481","Abhd17b",2
"1483","Abhd18",2
"1484","Abhd2",3
"1486","Abhd4",2
"1487","Abhd5",2
"1488","Abhd6",2
"1490","Abi1",4
"1491","Abi2",3
"1493","Abi3bp",2
"1494","Abl1",3
"1495","Abl2",3
"1496","Ablim1",4
"1497","Ablim2",2
"1507","Abtb2",2
"1528","AC149090.1",3
"1537","AC165953.2",2
"1542","Acaa2",3
"1545","Acad11",2
"1547","Acad8",2
"1557","Acat1",3
"1559","Acbd3",4
"1560","Acbd4",2
"1561","Acbd5",2
"1562","Acbd6",2
"1567","Ace",2
"1568","Ace2",3
"1569","Acer1",2
"1570","Acer2",2
"1571","Acer3",3
"1574","Ackr2",3
"1579","Aco1",2
"1580","Aco2",2
"1583","Acot11",2
"1584","Acot12",2
"1586","Acot2",2
"1587","Acot4",2
"1589","Acot6",2
"1593","Acox1",2
"1595","Acox3",2
"1598","Acp2",3
"1601","Acpp",3
"1608","Acsl1",3
"1609","Acsl3",3
"1610","Acsl4",3
"1614","Acsm2",4
"1618","Acss2",4
"1622","Actb",5
"1627","Actl6a",3
"1631","Actl9",2
"1632","Actn1",3
"1636","Actr10",2
"1638","Actr1b",2
"1639","Actr2",2
"1646","Actrt3",2
"1647","Acvr1",2
"1649","Acvr1c",3
"1650","Acvr2a",2
"1651","Acvr2b",2
"1652","Acvrl1",2
"1655","Acyp1",3
"1660","Adal",2
"1661","Adam10",3
"1662","Adam11",2
"1663","Adam12",3
"1664","Adam15",4
"1665","Adam17",3
"1667","Adam19",2
"1671","Adam22",2
"1672","Adam23",2
"1676","Adam28",2
"1679","Adam33",2
"1689","Adamts10",2
"1690","Adamts12",2
"1693","Adamts18",3
"1694","Adamts2",3
"1697","Adamts4",2
"1698","Adamts5",4
"1702","Adamts9",4
"1703","Adamtsl1",3
"1707","Adamtsl5",2
"1710","Adar",3
"1711","Adarb1",3
"1712","Adarb2",3
"1713","Adat1",3
"1717","Adcy1",2
"1720","Adcy3",3
"1724","Adcy7",3
"1728","Adcyap1r1",3
"1729","Add1",3
"1730","Add2",5
"1731","Add3",3
"1733","Adgra1",3
"1735","Adgra3",2
"1741","Adgre4",2
"1745","Adgrg1",2
"1746","Adgrg2",2
"1749","Adgrg6",2
"1750","Adgrl1",2
"1751","Adgrl2",2
"1752","Adgrl3",3
"1753","Adgrl4",2
"1754","Adgrv1",2
"1757","Adh5",2
"1761","Adh7",2
"1764","Adipor1",3
"1765","Adipor2",2
"1766","Adk",5
"1770","Adnp2",2
"1771","Ado",3
"1772","Adora1",2
"1773","Adora2a",2
"1774","Adora2b",3
"1777","Adprh",2
"1781","Adra1a",2
"1783","Adra2a",3
"1784","Adra2b",2
"1785","Adra2c",3
"1788","Adrb3",2
"1793","Aebp1",2
"1794","Aebp2",5
"1795","Aen",5
"1797","AF529169",3
"1798","Afap1",3
"1800","Afap1l2",2
"1801","Afdn",2
"1802","Aff1",3
"1803","Aff2",2
"1804","Aff3",2
"1805","Aff4",2
"1807","Afg3l1",2
"1808","Afg3l2",2
"1809","Afm",2
"1811","Afp",3
"1812","Aftph",5
"1814","Agap1",3
"1815","Agap3",2
"1816","Agbl3",3
"1817","Agbl4",3
"1818","Agbl5",3
"1819","Ager",2
"1820","Agfg1",6
"1821","Agfg2",2
"1824","Agl",3
"1828","Ago2",3
"1829","Ago3",5
"1830","Ago4",2
"1831","Agpat1",2
"1833","Agpat3",4
"1834","Agpat4",2
"1835","Agpat5",3
"1836","Agps",2
"1837","Agr2",2
"1839","Agrn",2
"1842","Agtpbp1",4
"1846","Agtrap",2
